,away_score,away_team,day,dayofweek,game_date,home_score,home_team,loc_abbr,location,margin,month,overtime,overtime_count,season,winner,year
0,105,Indiana,12,Friday,1979-10-12,114,Detroit,Det,Detroit,9,10,False,0,1979-80,home,1979
1,106,Houston,12,Friday,1979-10-12,114,Boston,Bos,Boston,8,10,False,0,1979-80,home,1979
2,103,LA Lakers,12,Friday,1979-10-12,102,San Diego,SD,LA Lakers,1,10,False,0,1979-80,away,1979
3,103,Milwaukee,12,Friday,1979-10-12,105,Kansas City,KC,Kansas City,2,10,False,0,1979-80,home,1979
4,95,Cleveland,12,Friday,1979-10-12,102,New Jersey,NJ,New Jersey,7,10,False,0,1979-80,home,1979
5,85,Utah,12,Friday,1979-10-12,101,Portland,Por,Portland,16,10,False,0,1979-80,home,1979
6,93,Philadelphia,12,Friday,1979-10-12,92,Was Bullets,WsB,Philadelphia,1,10,False,0,1979-80,away,1979
7,104,New York,12,Friday,1979-10-12,121,Atlanta,Atl,Atlanta,17,10,False,0,1979-80,home,1979
8,89,Golden State,12,Friday,1979-10-12,97,Phoenix,Pho,Phoenix,8,10,False,0,1979-80,home,1979
9,105,Houston,13,Saturday,1979-10-13,113,Philadelphia,Phi,Philadelphia,8,10,False,0,1979-80,home,1979
10,125,Milwaukee,13,Saturday,1979-10-13,96,Denver,Den,Milwaukee,29,10,False,0,1979-80,away,1979
11,101,Atlanta,13,Saturday,1979-10-13,115,Indiana,Ind,Indiana,14,10,False,0,1979-80,home,1979
12,102,Chicago,13,Saturday,1979-10-13,96,Golden State,GS,Chicago,6,10,True,1,1979-80,away,1979
13,139,Boston,13,Saturday,1979-10-13,117,Cleveland,Cle,Boston,22,10,False,0,1979-80,away,1979
14,112,Detroit,13,Saturday,1979-10-13,110,San Antonio,SA,Detroit,2,10,False,0,1979-80,away,1979
15,118,Was Bullets,13,Saturday,1979-10-13,125,New York,NY,New York,7,10,True,1,1979-80,home,1979
16,102,Chicago,14,Sunday,1979-10-14,112,Phoenix,Pho,Phoenix,10,10,False,0,1979-80,home,1979
17,93,Seattle,14,Sunday,1979-10-14,98,San Diego,SD,San Diego,5,10,False,0,1979-80,home,1979
18,93,Denver,14,Sunday,1979-10-14,109,Portland,Por,Portland,16,10,False,0,1979-80,home,1979
19,131,Milwaukee,15,Monday,1979-10-15,107,Utah,Uta,Milwaukee,24,10,False,0,1979-80,away,1979
20,121,Houston,16,Tuesday,1979-10-16,126,New York,NY,New York,5,10,False,0,1979-80,home,1979
21,118,San Antonio,16,Tuesday,1979-10-16,116,Atlanta,Atl,San Antonio,2,10,False,0,1979-80,away,1979
22,100,New Jersey,16,Tuesday,1979-10-16,113,Indiana,Ind,Indiana,13,10,False,0,1979-80,home,1979
23,86,Seattle,16,Tuesday,1979-10-16,102,Phoenix,Pho,Phoenix,16,10,False,0,1979-80,home,1979
24,81,San Diego,16,Tuesday,1979-10-16,88,Portland,Por,Portland,7,10,False,0,1979-80,home,1979
25,96,Chicago,16,Tuesday,1979-10-16,105,LA Lakers,LAL,LA Lakers,9,10,False,0,1979-80,home,1979
26,117,Detroit,16,Tuesday,1979-10-16,137,Cleveland,Cle,Cleveland,20,10,False,0,1979-80,home,1979
27,108,Golden State,16,Tuesday,1979-10-16,106,Denver,Den,Golden State,2,10,False,0,1979-80,away,1979
28,107,Golden State,17,Wednesday,1979-10-17,94,Kansas City,KC,Golden State,13,10,False,0,1979-80,away,1979
29,97,Atlanta,17,Wednesday,1979-10-17,100,Was Bullets,WsB,Was Bullets,3,10,False,0,1979-80,home,1979
30,110,LA Lakers,17,Wednesday,1979-10-17,112,Seattle,Sea,Seattle,2,10,False,0,1979-80,home,1979
31,112,Indiana,17,Wednesday,1979-10-17,116,Houston,Hou,Houston,4,10,False,0,1979-80,home,1979
