name,abbrev,full_name,startdate,enddate
Atlanta ,Atl,Atlanta Hawks ,1968, 2017
Anderson ,And,Anderson Packers ,1949, 1950
Bal Bullets ,BlB,Baltimore Bullets ,1947, 1954
Baltimore ,Bal,Baltimore Bullets ,1963, 1973
Boston ,Bos,Boston Celtics ,1946, 2017
Brooklyn ,Bkn,Brooklyn Nets ,2012, 2017
Buffalo ,Buf,Buffalo Braves ,1970, 1978
Capital ,Cap,Capital Bullets ,1973, 1974
Charlotte ,Cha,Charlotte Hornets ,1988, 2002
Charlotte ,Cha,Charlotte Hornets ,2014, 2017
Cha Bobcats ,ChB,Charlotte Bobcats ,2004, 2014
Chicago ,Chi,Chicago Bulls ,1966, 2017
Chi Packers ,ChP,Chicago Packers ,1961, 1962
Chi Stags ,ChS,Chicago Stags ,1946, 1950
Chi Zephyrs ,ChZ,Chicago Zephyrs ,1962, 1963
Cincinnati ,Cin,Cincinnati Royals ,1957, 1972
Cleveland ,Cle,Cleveland Cavaliers ,1970, 2017
Cle Rebels ,ClR,Cleveland Rebels ,1946, 1947
Dallas ,Dal,Dallas Mavericks ,1980, 2017
Den Nuggets ,DnN,Denver Nuggets ,1949, 1950
Denver ,Den,Denver Nuggets ,1976, 2017
Det Falcons ,DtF,Detroit Falcons ,1946, 1947
Detroit ,Det,Detroit Pistons ,1957, 2017
Ft Wayne ,FtW,Ft Wayne Pistons ,1948, 1957
Golden State ,GS ,Golden State Warriors ,1971, 2017
Houston ,Hou,Houston Rockets ,1971, 2017
Indiana ,Ind,Indiana Pacers ,1976, 2017
Ind Jets ,InJ,Indianapolis Jets ,1948, 1949
Ind Olympians,InO,Indianapolis Olympians ,1949, 1953
Kansas City ,KC ,Kansas City Kings ,1975, 1985
KC-Omaha ,KCO,KC-Omaha Kings ,1972, 1975
LA Clippers ,LAC,Los Angeles Clippers ,1984, 2017
LA Lakers ,LAL,Los Angeles Lakers ,1960, 2017
Memphis ,Mem,Memphis Grizzlies ,2001, 2017
Miami ,Mia,Miami Heat ,1988, 2017
Mil Hawks ,MlH,Milwaukee Hawks ,1951, 1955
Milwaukee ,Mil,Milwaukee Bucks ,1968, 2017
Minneapolis ,MnL,Minneapolis Lakers ,1948, 1960
Minnesota ,Min,Minnesota Timberwolves ,1989, 2017
New Jersey ,NJ ,New Jersey Nets ,1977, 2012
NO Hornets ,NOH,New Orleans Hornets ,2002, 2005
NO Hornets ,NOH,New Orleans Hornets ,2007, 2013
NO Jazz ,NOJ,New Orleans Jazz ,1974, 1979
New Orleans ,NO ,New Orleans Pelicans ,2013, 2017
New Orl/OkC ,NOk,New Orleans/Oklahoma City Hornets ,2005, 2007
New York ,NY ,New York Knicks ,1946, 2017
NY Nets ,NYN,New York Nets ,1976, 1977
Oklahoma City,OkC,Oklahoma City ,2008, 2017
Orlando ,Orl,Orlando Magic ,1989, 2017
Phi Warriors ,PhW,Philadelphia Warriors ,1946, 1962
Philadelphia ,Phi,Philadelphia 76ers ,1963, 2017
Phoenix ,Pho,Phoenix Suns ,1968, 2017
Pittsburgh ,Pit,Pittsburgh Ironmen ,1946, 1947
Portland ,Por,Portland TrailBlazers ,1970, 2017
Providence ,Pro,Providence Steamrollers ,1946, 1950
Rochester ,Roc,Rochester Royals ,1948, 1957
Sacramento ,Sac,Sacramento Kings ,1985, 2017
San Antonio ,SA ,San Antonio Spurs ,1976, 2017
San Diego ,SD ,San Diego Clippers ,1978, 1984
San Francisco,SF ,San Francisco Warriors ,1962, 1971
SD Rockets ,SDR,San Diego Rockets ,1967, 1971
Seattle ,Sea,Seattle SuperSonics ,1967, 2008
Sheboygan ,She,Sheboygan Redskins ,1949, 1950
StL Bombers ,StB,St Louis Bombers ,1946, 1950
St Louis ,StL,St Louis Hawks ,1955, 1968
Syracuse ,Syr,Syracuse Nationals ,1949, 1963
Tor Huskies ,TrH,Toronto Huskies ,1946, 1947
Toronto ,Tor,Toronto Raptors ,1995, 2017
Tri-Cities ,Tri,Tri-Cities Blackhawks ,1949, 1951
Utah ,Uta,Utah Jazz ,1979, 2017
Vancouver ,Van,Vancouver Grizzlies ,1995, 2001
Was Capitols ,WsC,Washington Capitols ,1946, 1950
Was Bullets ,WsB,Washington Bullets ,1974, 1997
Washington ,Wsh,Washington Wizards ,1997, 2017
Waterloo ,Wat,Waterloo Hawks ,1949, 1950
