id,title,release_year,observed_stars,measured_stars,diff,perc_err,sentiment,sentiment_score,review_url
0,Avatar,2009,4.0,2.5,1.5,0.6,positive,0.247693,http://www.rogerebert.com/reviews/avatar-2009
1,The Dark Knight Rises,2012,3.0,2.0,1.0,0.5,negative,-0.070833,http://www.rogerebert.com/reviews/the-dark-knight-rises-2012
2,John Carter,2012,2.5,2.0,0.5,0.25,negative,-0.0169779,http://www.rogerebert.com/reviews/john-carter-2012
4,Avengers: Age of Ultron,2015,3.0,2.0,1.0,0.5,negative,-0.0304112,http://www.rogerebert.com/reviews/avengers-age-of-ultron-2015
5,Batman v Superman: Dawn of Justice,2016,2.5,1.5,1.0,0.6666666666666666,negative,-0.330003,http://www.rogerebert.com/reviews/batman-v-superman-dawn-of-justice-2016
6,Quantum of Solace,2008,2.0,1.5,0.0,0.0,negative,-0.20728,http://www.rogerebert.com/reviews/quantum-of-solace-2008
8,Man of Steel,2013,3.0,1.5,1.0,0.5,negative,-0.244794,http://www.rogerebert.com/reviews/man-of-steel-2013
9,The Chronicles of Narnia: Prince Caspian,2008,3.0,2.0,1.0,0.5,negative,-0.0681281,http://www.rogerebert.com/reviews/the-chronicles-of-narnia-prince-caspian-2008
10,Pirates of the Caribbean: On Stranger Tides,2011,2.0,2.0,0.0,0.0,negative,-0.0954945,http://www.rogerebert.com/reviews/pirates-of-the-caribbean-on-stranger-tides-2011
13,Robin Hood,2010,2.0,1.0,0.5,0.3333333333333333,negative,-0.344874,http://www.rogerebert.com/reviews/robin-hood-2010
14,The Golden Compass,2007,4.0,2.0,1.5,0.6,positive,0.0802349,http://www.rogerebert.com/reviews/the-golden-compass-2007
15,King Kong,2005,4.0,2.5,1.5,0.6,positive,0.180803,http://www.rogerebert.com/reviews/king-kong-2005
16,Titanic,1997,4.0,2.5,1.5,0.6,positive,0.153945,http://www.rogerebert.com/reviews/titanic-1997
17,Captain America: Civil War,2016,3.0,1.5,1.0,0.5,negative,-0.123246,http://www.rogerebert.com/reviews/captain-america-civil-war-2016
18,Battleship,2012,2.5,1.5,0.5,0.25,negative,-0.213501,http://www.rogerebert.com/reviews/battleship-2012
19,Jurassic World,2015,3.0,1.5,1.0,0.5,negative,-0.200765,http://www.rogerebert.com/reviews/jurassic-world-2015
20,Skyfall,2012,4.0,2.5,1.5,0.6,positive,0.138887,http://www.rogerebert.com/reviews/skyfall-2012
22,Alice in Wonderland,2010,3.0,1.5,1.5,1.0,negative,-0.313689,http://www.rogerebert.com/reviews/alice-in-wonderland-2010
24,Monsters University,2013,4.0,2.0,1.5,0.6,positive,0.0753577,http://www.rogerebert.com/reviews/monsters-university-2013
25,Transformers: Age of Extinction,2014,2.5,2.0,0.5,0.25,negative,-0.0187597,http://www.rogerebert.com/reviews/transformers-age-of-extinction-2014
26,Oz the Great and Powerful,2013,2.5,2.5,0.0,0.0,positive,0.125607,http://www.rogerebert.com/reviews/oz-the-great-and-powerful-2013
28,Cars 2,2011,3.5,2.0,1.5,0.75,negative,-0.0510113,http://www.rogerebert.com/reviews/cars-2-2011
29,Green Lantern,2011,2.5,2.0,0.5,0.25,negative,-0.0675802,http://www.rogerebert.com/reviews/green-lantern-2011
30,Toy Story 3,2010,3.0,1.5,1.5,1.0,negative,-0.273982,http://www.rogerebert.com/reviews/toy-story-3-2010
31,Terminator Salvation,2009,2.0,1.5,0.0,0.0,negative,-0.224977,http://www.rogerebert.com/reviews/terminator-salvation-2009
32,Furious 7,2015,3.5,1.5,1.5,0.75,negative,-0.148974,http://www.rogerebert.com/reviews/furious-7-2015
33,World War Z,2013,2.0,1.5,0.5,0.3333333333333333,negative,-0.288088,http://www.rogerebert.com/reviews/world-war-z-2013
34,Jack the Giant Slayer,2013,3.5,2.5,1.0,0.4,positive,0.121855,http://www.rogerebert.com/reviews/jack-the-giant-slayer-2013
35,Prince of Persia: The Sands of Time,2010,2.0,1.5,0.0,0.0,negative,-0.122188,http://www.rogerebert.com/reviews/prince-of-persia-the-sands-of-time-2010
36,Pacific Rim,2013,4.0,1.5,2.0,1.0,negative,-0.132027,http://www.rogerebert.com/reviews/pacific-rim-2013
37,Indiana Jones and the Kingdom of the Crystal Skull,2008,3.5,1.5,1.5,0.75,negative,-0.167703,http://www.rogerebert.com/reviews/indiana-jones-and-the-kingdom-of-the-crystal-skull-2008
38,The Good Dinosaur,2015,2.5,2.0,0.0,0.0,positive,0.0562385,http://www.rogerebert.com/reviews/the-good-dinosaur-2015
39,Star Trek Beyond,2016,2.5,1.5,0.5,0.25,negative,-0.218014,http://www.rogerebert.com/reviews/star-trek-beyond-2016
41,Rush Hour 3,2007,2.0,2.0,0.0,0.0,negative,-0.020779,http://www.rogerebert.com/reviews/rush-hour-3-2007
