id,product_text,retailer,category
1,ub spanish style,publix,grains & pasta
2,kkroger tea ppc,kroger,beverages
3,pound cake,kroger,bakery
4,marghme fld peas,publix,frozen foods
5,kro smkd pork link,kroger,"meat, seafood, & poultry"
6,2 for 319,kroger,not an item
7,participting items,kroger,not an item
8,lays wavy chips ppc,kroger,"snacks, cookies, & chips"
9,kro fruiit bowl,kroger,canned goods & soups
10,ronzoni penne riga,publix,grains & pasta
11,chiicken dunk,kroger,frozen foods
12,publix sl mushrm,publix,canned goods & soups
13,tropso,kroger,beverages
14,barlla rotini ppc,kroger,grains & pasta
15,noxzema razor,kroger,beauty & grooming
16,kro garbanzo beanspc,kroger,canned goods & soups
17,glac,kroger,household essentials
18,donuts ppc,kroger,bakery
19,pprt ygrtbar,kroger,"snacks, cookies, & chips"
20,str chs,publix,dairy
21,kro pepprni mini,kroger,frozen foods
22,oduce,kroger,produce
23,mshrm prt cp whl,kroger,pets
24,r0t00 tomatoes,kroger,produce
25,reach mint floss,kroger,health & wellness
26,ber pouchh,kroger,baby & kids
27,ggg ls green beans,publix,canned goods & soups
28,cchange,safeway,not an item
29,rrosemary,publix,produce
30,kkro egg sub,kroger,dairy
31,per ckn brstttndrs,publix,frozen foods
32,ped dentastix sm,kroger,pets
33,bbeefffor stew,publix,canned goods & soups
34,btyc brownie,kroger,baking
35,oreoddouble stuff,publix,"snacks, cookies, & chips"
36,fuelpints this order,kroger,not an item
37,jd sausage sage,kroger,"meat, seafood, & poultry"
38,old orchard,publix,beverages
39,toufayan onion pta,publix,bakery
40,aroni,kroger,grains & pasta
41,sun chip r0ni0n,publix,"snacks, cookies, & chips"
42,thnkthn bar,kroger,"snacks, cookies, & chips"
43,n chkn patty,kroger,frozen foods
44,luvso catfood,publix,pets
45,zbag yogrtraisins,publix,produce
46,5 for,kroger,not an item
47,sbr honey mustard,kroger,"condiments, sauces & seasonings"
48,tat tot,publix,frozen foods
49,esavings,kroger,not an item
50,rd summer fueel2x pts,kroger,not an item
51,kkroger savincs,kroger,not an item
52,for the first 3 months,kroger,not an item
53,wymn frozen fruit,kroger,frozen foods
54,ppublix cc lg curd,publix,dairy
55,hrml ppront,kroger,deli
56,t pie,kroger,bakery
57,ped adltccmpltntr,publix,pets
58,kro hms cutlery,kroger,household essentials
59,pbx bnls brstttndr,kroger,"meat, seafood, & poultry"
60,cheezitwhl grn,publix,"snacks, cookies, & chips"
61,conc juice ppc,kroger,beverages
62,ckn brst,kroger,"meat, seafood, & poultry"
63,kind vanbberry br,publix,bakery
64,bbarber brocchse,publix,canned goods & soups
65,these poinfs expire,kroger,not an item
66,lycl olives,kroger,"condiments, sauces & seasonings"
67,snow crabcclusters,publix,frozen foods
68,wtt bbananas c,kroger,produce
69,bbrhd sws chs,kroger,dairy
70,turkeyhillor shell,kroger,deli
71,10x senior disc,kroger,not an item
72,iscover,kroger,not an item
73,sc 10 seniordisc,kroger,not an item
74,activia frtfusion,kroger,dairy
75,wt tomatoes roma vll,kroger,produce
76,save u,kroger,not an item
77,us hishway,kroger,not an item
78,eeentry,kroger,not an item
79,participating items c,kroger,not an item
80,sc kkroer swings,publix,not an item
81,mafrn parmesan chspc,kroger,dairy
82,fuelpoinis ihis order,kroger,not an item
83,rrana tortelloni,kroger,grains & pasta
84,kkro htog bun ppc,kroger,bakery
85,bbluemoon,kroger,beer
86,ppublix egg nog,publix,dairy
87,matoes ppc,kroger,produce
88,mfg cpn savin3s,kroger,not an item
89,hrml pork ln,kroger,"meat, seafood, & poultry"
90,savelup 0,kroger,not an item
91,1 4100 mrch ramen noodle,kroger,canned goods & soups
92,pbx or tky brst,publix,"meat, seafood, & poultry"
93,wt cherriesred,kroger,produce
94,frt snk,kroger,"snacks, cookies, & chips"
95,2 for 217,publix,not an item
96,mnri vinegar,kroger,"condiments, sauces & seasonings"
97,clif bar c,kroger,"snacks, cookies, & chips"
98,dxie chili,kroger,canned goods & soups
99,bbe mac n cheese fppc,kroger,frozen foods
100,hrshy kisses ppc,kroger,candy & gum
101,sc 10r senior disc,kroger,not an item
102,pchp sea salted ch,kroger,"snacks, cookies, & chips"
103,kroger kroger,kroger,not an item
104,lllimes,kroger,produce
105,crmx lipbbalm,kroger,health & wellness
106,fbrz fbrc rfrshr,kroger,household essentials
107,tt bbananas,kroger,produce
108,bbfg crv rll,kroger,canned goods & soups
109,hrml ppron,kroger,deli
110,mission ylw crn tl,publix,bakery
111,kroger sa ings,kroger,not an item
112,sc 59 gatradepropel,kroger,beverages
113,wt royal gala apples,safeway,produce
114,mr clen eraser 2ct,kroger,household essentials
115,tysn chkn nugets,kroger,frozen foods
116,hnts manwiichh,kroger,"condiments, sauces & seasonings"
117,into creamer,kroger,dairy
118,dairy,kroger,dairy
119,eef,publix,"meat, seafood, & poultry"
120,renuzit ircare,kroger,household essentials
121,banq bns tky sg pt,publix,frozen foods
122,arrid xdry,kroger,beauty & grooming
123,huntsmanwichh,kroger,canned goods & soups
124,limittone 50 fuel ptbonus per 7,kroger,not an item
